id,name,birth,country,description
1,"Dave Bautista",1969-01-18,USA,"David Michael Bautista, Jr. was born on January 18, 1969 in Washington, D.C., to Donna Raye (Mullins) and David Michael Bautista, a hairdresser. He has Filipino and Greek ancestry."
2,"Ella Purnell",1996-09-17,UK,"Ella Purnell was born in London, U.K. She is best known for her roles in Tim Burton's Miss Peregrine's Home For Peculiar Children (2016), in BBC One's Ordeal By Innocence (2017) and Starz' Sweetbitter (2017), in which she plays the series lead role of Tess in the adaptation of Stephanie Danler's hit novel of the same name."
3,"Ana de la Reguera",1977-04-08,Mexico,"Ana de la Reguera grew up in the tropical state of Veracruz, on the Gulf Coast of Mexico. She began her performance arts studies in the Cultural Institute of Veracruz, then left for Televisa's Center for Artistic Education (CEA) and TV Aztecas' artistic institute (CEFAC) in Mexico City, later taking study with Lisa Robertson and Aaron Spicer in Los Angeles and acting coach Juan 'Carlos Corzza in Spain. In theatre she participated in "El Cartero" ("Il Postino") for which she received two awards: one for "Best Actress" from the Association of Theatre Journalists in Mexico and the other for the year's "Most Promising Actress" from the Association of Theatre Critics and Journalists."
4,"Amy Adams",1974-08-20,Italy,"Amy Lou Adams was born in Vicenza, Veneto, Italy, to American parents, Kathryn (Hicken) and Richard Kent Adams, a U.S. serviceman who was stationed at Caserma Ederle in Italy at the time. She was raised in a Mormon family of seven children in Castle Rock, Colorado, and has English, as well as smaller amounts of Danish, Swiss-German, and Norwegian, ancestry."
5,"Gary Oldman",1958-03-21,UK,"Gary Oldman is a talented English movie star and character actor, renowned for his expressive acting style. One of the most celebrated thespians of his generation, with a diverse career encompassing theatre, film and television, he is known for his roles as Sid Vicious in Sid and Nancy (1986), Drexl in True Romance (1993), George Smiley in Tinker Tailor Soldier Spy (2011), and Winston Churchill in Darkest Hour (2017), among many others. For much of his career, he was best-known for playing over-the-top antagonists, such as terrorist Egor Korshunov in the 1997 blockbuster Air Force One (1997), though he has reached a new audience with heroic roles in the Harry Potter and Dark Knight franchises. He is also a filmmaker, musician, and author."
6,"Anthony Mackie",1978-09-23,USA,"Anthony Mackie is an American actor. He was born in New Orleans, Louisiana, to Martha (Gordon) and Willie Mackie, Sr., who owned a business, Mackie Roofing. Anthony has been featured in feature films, television series and Broadway and Off-Broadway plays, including Ma Rainey's Black Bottom, Drowning Crow, McReele, A Soldier's Play, and Talk, by Carl Hancock Rux, for which he won an Obie Award in 2002. In 2002, he was featured in Eminem's debut film, 8 Mile, playing Papa Doc, a member of Leaders of the Free World. He was nominated for Best Supporting Actor at the 2009 Independent Spirit Awards for his role in _The Hurt Locker (2009)_(QV). This is Mackie's second ISA nomination, the first coming for his work in _Brother to Brother (2003)_, where he was nominated for Best Actor. Also in 2009, Mackie portrayed rapper Tupac Shakur in the film Notorious (2009). He appears in the Matt Damon film The Adjustment Bureau (2011) where he plays Harry Mitchell, a sympathetic member of a shadowy supernatural group that controls human destiny."
7,"Henry Cavill",1983-05-05,"Channel Islands","Henry William Dalgliesh Cavill was born on the Bailiwick of Jersey, a British Crown dependency in the Channel Islands. His mother, Marianne (Dalgliesh), a housewife, was also born on Jersey, and is of Irish, Scottish and English ancestry. Henry's father, Colin Richard Cavill, a stockbroker, is of English origin (born in Chester, England). Henry is the second youngest son, with four brothers. He was privately educated at St. Michael's Preparatory School in Saint Saviour, Jersey before attending Stowe School in Buckinghamshire, England."
8,"Ben Affleck",1972-08-15,USA,"American actor and filmmaker Benjamin Géza Affleck-Boldt was born on August 15, 1972 in Berkeley, California, and was raised in Cambridge, Massachusetts. His mother, Chris Anne (née Boldt), is a school teacher, and his father, Timothy Byers Affleck, is a social worker; the two are divorced. Ben has a younger brother, actor Casey Affleck, who was born in 1975. He is of mostly English, Irish, German, and Scottish ancestry. His middle name, Géza, is after a Hungarian family friend who was a Holocaust survivor."
9,"Gal Gadot",1985-04-30,Israel,"Gal Gadot is an Israeli actress, singer, martial artist, and model. She was born in Rosh Ha'ayin, Israel. Her parents are Irit, a teacher, and Michael, an engineer. She served in the IDF for two years, and won the Miss Israel title in 2004."
10,"Mélanie Laurent",1983-02-21,France,"Mélanie Laurent was born in Paris, France. She is the daughter of Annick, a ballet teacher, and Pierre, a voice actor, who is most recognized for the French version of The Simpsons (1989). She has a younger brother, Mathieu, and has both Sephardi Jewish (from Tunisia) and Ashkenazi Jewish (from Poland) ancestry. In 1998, Laurent was visiting the set of Asterix and Obelix vs. Caesar (1999) with a friend when she caught the attention of Gérard Depardieu. He offered her a role in his next film The Bridge (1999). She only played a small role, but it was enough to further Mélanie's interest in acting."
