id,name,year,description,country,language,director_id,genre
id,name,year,description,country,language,director_id,genre
1,"Army of the Dead",2021,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.",USA,"English, Spanisg, German, French",6,"Action, Crime, Horror"
2,"The Woman in the Window",2021,"An agoraphobic woman living alone in New York begins spying on her new neighbors, only to witness a disturbing act of violence.",USA,English,9,"Crime, Drama, Mystery"
3,"Zack Snyder's Justice League",2021,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.","USA, UK","English, Icelandic, French",6,"Action, Adventure, Fantasy"
4,Oxygen,2021,"A woman wakes in a cryogenic chamber with no recollection of how she got there. As she's running out of oxygen, she must rebuild her memory to find a way out of her nightmare.","USA, France",French,10,"Drama, Fantasy, Sci-Fi"
5,"Black Widow",2021,"A film about Natasha Romanoff in her quests between the films Civil War and Infinity War.",USA,English,11,"Action, Adventure, Sci-Fi"
6,"Another Round",2020,"Four high school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.","Denmark, Sweden, Netherlands","Danish, Swedish",12,"Comedy, Drama"
7,"The Dry",2020,"Aaron Falk returns to his drought-stricken hometown to attend a tragic funeral. But his return opens a decades-old wound - the unsolved death of a teenage girl.","USA, Australia",English,13,"Crime, Drama, Mystery"
8,"Knives Out",2019,"A detective investigates the death of a patriarch of an eccentric, combative family.",USA,"English, Spanish, Hindi",14,"Comedy, Crime, Drama, Mystery, Thriller"
9,"Back to the Future",1985,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",USA,English,15,"Adventure, Comedy, Sci-Fi"
10,Titanic,1997,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.","USA, Mexico, Australia, Canada","English, Swedish, Italian, French",16,"Drama, Romance"
11,"A Quiet Place Part II",2020,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",USA,English,1,"Drama, Horror, Sci-Fi"
12,Cruella,2021,"A live-action prequel feature film following a young Cruella de Vil.","USA, UK",English,2,"Comedy, Crime"
13,"Raya and the Last Dragon",2021,"In a realm known as Kumandra, a re-imagined Earth inhabited by an ancient civilization, a warrior named Raya is determined to find the last dragon.",USA,English,3,"Animation, Action, Adventure"
14,"Friends: The Reunion",2021,"An unscripted Friends reunion special.",USA,English,4,"Comedy, Romance"
15,"The Mitchells vs the Machines",2021,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.","USA, Canada, Hong Kong",English,5,"Animation, Adventure, Comedy"
16,"P!nk: All I Know So Far",2021,"A behind-the-scenes look at P!NK as she balances family and life on the road, leading up to her first Wembley Stadium performance on 2019's Beautiful Trauma" world tour."",USA,English,7,"Documentary, Biography, Music"
17,"The Greatest Showman",2017,"Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.",USA,English,7,"Biography, Drama, Musical"
18,"The Father",2020,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.","UK, France",English,8,Drama
